instrument,granularity,time,open,high,low,close,volume
EUR_USD,H1,2026-06-03T03:00:00.000000000Z,1.16281,1.16295,1.16264,1.16277,1975
EUR_USD,H1,2026-06-03T04:00:00.000000000Z,1.16276,1.16282,1.16244,1.16256,1417
EUR_USD,H1,2026-06-03T05:00:00.000000000Z,1.16256,1.16271,1.16187,1.16188,2566
EUR_USD,H1,2026-06-03T06:00:00.000000000Z,1.16188,1.16224,1.16124,1.16164,5783
EUR_USD,H1,2026-06-03T07:00:00.000000000Z,1.16164,1.16244,1.16129,1.16162,6586
EUR_USD,H1,2026-06-03T08:00:00.000000000Z,1.16162,1.16168,1.16051,1.16082,6007
EUR_USD,H1,2026-06-03T09:00:00.000000000Z,1.16082,1.1616,1.1608,1.16136,4676
EUR_USD,H1,2026-06-03T10:00:00.000000000Z,1.16136,1.1623,1.16128,1.16161,6644
EUR_USD,H1,2026-06-03T11:00:00.000000000Z,1.16162,1.16226,1.16154,1.16179,3975
EUR_USD,H1,2026-06-03T12:00:00.000000000Z,1.1618,1.16187,1.15968,1.16005,6633
EUR_USD,H1,2026-06-03T13:00:00.000000000Z,1.16006,1.16064,1.15974,1.1603,8387
EUR_USD,H1,2026-06-03T14:00:00.000000000Z,1.1603,1.16124,1.15949,1.16124,12680
EUR_USD,H1,2026-06-03T15:00:00.000000000Z,1.16124,1.1613,1.16026,1.16048,9118
EUR_USD,H1,2026-06-03T16:00:00.000000000Z,1.1605,1.1605,1.15952,1.16002,6088
EUR_USD,H1,2026-06-03T17:00:00.000000000Z,1.16004,1.16036,1.15969,1.15984,3029
EUR_USD,H1,2026-06-03T18:00:00.000000000Z,1.15985,1.16,1.15954,1.15984,2844
EUR_USD,H1,2026-06-03T19:00:00.000000000Z,1.15982,1.16011,1.15972,1.15981,2408
EUR_USD,H1,2026-06-03T20:00:00.000000000Z,1.15982,1.16006,1.1597,1.15986,1680
EUR_USD,H1,2026-06-03T21:00:00.000000000Z,1.15998,1.16013,1.15976,1.15989,1041
EUR_USD,H1,2026-06-03T22:00:00.000000000Z,1.15993,1.16124,1.15946,1.1606,1944
EUR_USD,H1,2026-06-03T23:00:00.000000000Z,1.16061,1.16108,1.16016,1.1609,2051
EUR_USD,H1,2026-06-04T00:00:00.000000000Z,1.1609,1.16126,1.16055,1.16068,4014
EUR_USD,H1,2026-06-04T01:00:00.000000000Z,1.16068,1.16102,1.16039,1.16096,3609
EUR_USD,H1,2026-06-04T02:00:00.000000000Z,1.16098,1.16113,1.16064,1.16101,2188
EUR_USD,H1,2026-06-04T03:00:00.000000000Z,1.161,1.16101,1.16026,1.1606,1739
EUR_USD,H1,2026-06-04T04:00:00.000000000Z,1.16061,1.16132,1.1604,1.16098,2281
